COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(I)31,QC(I)32,QC(I)33,QC(I)34,QC(I)35,QC(I)36,QC(I)37,QC(I)38,QC(I)39,QC(I)40,QC(I)41,QC(I)42,QC(I)43,QC(I)44,QC(I)45,QC(I)46,QC(I)47,QC(I)48,QC(I)49,QC(I)50,QC(I)51,QC(I)52,QC(I)53,QC(I)54,QC(I)55,QC(I)56,QC(I)57,QC(I)58,QC(I)59,QC(I)60,QC(I)61,QC(I)62,QC(I)63,QC(I)64,QC(I)65,QC(I)66,QC(I)67,QC(I)68,QC(I)69,QC(I)70,QC(S)1_Batch22,QC(S)2_Batch22,QC(S)3_Batch22,QC(S)4_Batch22,QC(S)5_Batch22,QC(S)6_Batch23,QC(S)7_Batch23,QC(S)8_Batch23,QC(S)9_Batch23,QC(S)10_Batch23,QC(S)11_Batch24,QC(S)12_Batch24,QC(S)13_Batch24,QC(S)14_Batch24,QC(S)15_Batch24,QC(S)16_Batch25,QC(S)17_Batch25,QC(S)18_Batch25,QC(S)19_Batch25,QC(S)20_Batch25,QC(S)21_Batch26,QC(S)22_Batch26,QC(S)23_Batch26,QC(S)24_Batch26,QC(S)25_Batch26,QC(S)26_Batch27,QC(S)27_Batch27,QC(S)28_Batch27,QC(S)29_Batch27,QC(S)30_Batch27,QC(S)31_Batch28,QC(S)32_Batch28,QC(S)33_Batch28,QC(S)34_Batch28,QC(S)35_Batch28,QC(S)36_Batch29,QC(S)37_Batch29,QC(S)38_Batch29,QC(S)39_Batch29,QC(S)40_Batch29,QC(S)41_Batch30,QC(S)42_Batch30,QC(S)43_Batch30,QC(S)44_Batch30,QC(S)45_Batch30,QC(S)46_Batch31,QC(S)47_Batch31,QC(S)48_Batch31,QC(S)49_Batch31,QC(S)50_Batch31,QC(S)51_Batch32,QC(S)52_Batch32,QC(S)53_Batch32,QC(S)54_Batch32,QC(S)55_Batch32,QC(S)56_Batch33,QC(S)57_Batch33,QC(S)58_Batch33,QC(S)59_Batch33,QC(S)60_Batch33,QC(S)61_Batch34,QC(S)62_Batch34,QC(S)63_Batch34,QC(S)64_Batch34,QC(S)65_Batch34,QC(S)66_Batch35,QC(S)67_Batch35,QC(S)68_Batch35,QC(S)69_Batch35,QC(S)70_Batch35
Trimethylamine (TMA),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N6-Acetyl-Lysine,240451,268935,266550,230265,235232,258286,245957,219064,235868,259775,225820,246903,258921,217245,214533,206978,213497,233691,215166,215356,242779,198015,215455,212333,229247,241434,218418,217049,221345,238355,215060,201117,209458,227113,220201,186282,225881,211654,189774,207553,184323,179402,213255,185370,208789,205666,190447,215476,225299,233891,187292,175222,201026,168871,218681,208508,212015,193175,221768,201509,169393,171701,162323,129261,164124,132860,222403,211859,210224,185851,361057,362116,288393,331712,325201,370460,346509,317528,335680,327316,326679,309046,344026,351779,313238,376508,275168,333606,320807,343460,297647,300163,298000,286419,304134,309411,301016,290392,331160,279207,311704,311365,311383,290878,272172,305172,298075,267241,279433,258809,268132,249696,265172,284462,310547,304332,255736,293264,272188,242166,258163,249752,301112,275808,281501,280426,272564,289174,294755,261927,281644,284466,253989,267148,280337,253668,380448,336554,354150,370714
Homoarginine,2989255,2646905,2718084,2482422,2402206,2420438,2294572,2147613,2004853,1941994,1995853,1851768,1807393,1865811,1665969,1622556,1611193,1597465,1610429,1506143,1541959,1645387,1417046,1647893,1550156,1615046,1399519,1461911,1522093,1525687,1525533,1420580,1445149,1466001,1433613,1421391,1541672,1571942,1545140,1484415,1559522,1592443,1469885,1584809,1587731,1385327,1633641,1397236,1462362,1418227,1561912,1420387,1477160,1563413,1469989,1564632,1506436,1503462,1337970,1371337,1472828,1260299,1141026,978660,1150588,935066,1360870,1182958,1106723,1216618,2491691,2766252,2605050,2364154,2031784,2214367,2198649,2022636,1980219,1896001,1901690,1941243,1791189,1772501,1703254,1614852,1682337,1577245,1597374,1349036,1542386,1575649,1473808,1636828,1558334,1531984,1475047,1538158,1262034,1339986,1522623,1468453,1599274,1609209,1496024,1475659,1517924,1560483,1525876,1452383,1494079,1625286,1740775,1612696,1300292,1454129,1646035,1523581,1515565,1422662,1740399,1475274,1565505,1470111,1471045,1601405,1481371,1618875,1566866,1422360,1564095,1388207,1590294,1360571,1437383,1317523,1629908,1177293,1519299,881413
N6-Trimethyllysine,9238768,8868519,8606014,8355385,8029007,8327279,7874253,7409295,7230340,7025923,7223415,7046973,6238550,6441930,6385881,6461984,6193504,5667864,6230360,5527693,6093032,5923097,5856533,6159446,6080890,6217342,6016939,5921251,5755858,5924224,5918328,5675625,5927835,5846303,5714958,5719416,5549775,6345311,5791376,5883124,5392890,6496610,6325483,6265682,6293636,5351731,6141536,5802373,5810394,5662366,5567553,4659351,5336752,5445762,5250229,5963263,5771449,5832022,5842100,5285007,5264002,4635934,4048500,3505079,3813837,3280615,4707109,3997723,3953900,3861347,19313598,23635260,23518764,21479306,21165789,21214719,21721409,20982397,19287913,20532172,20016047,19430158,19596100,19187098,18800540,16766011,18847413,17132391,16955949,15195793,18136851,17537641,16398901,18966533,18914154,19068253,17679613,17386118,15979530,16011967,17781461,18228850,17546747,17940942,16664470,17526305,16197037,17887122,18074794,15947959,15743192,19497154,19320224,19138954,13845920,16469748,18251492,17550269,16619265,16280669,18199508,16553871,17468014,17120635,17121669,16176557,17168437,17183150,16415204,16530416,16974644,15172857,17145486,14783011,15921162,14176159,14605052,11438513,13273952,7363063
Homocitrulline,237112,200397,199135,229336,224361,219943,195593,231198,238782,189230,198055,192460,198755,205031,209860,181106,201450,159049,170094,185429,178217,162276,196485,162662,185240,185208,169011,173088,175076,209719,216373,162295,161930,160623,151754,156874,151658,122011,153399,158678,200049,172178,165075,155966,154378,147217,152019,152494,160408,155695,160453,193278,184073,191797,168528,166264,151474,145792,159047,159511,163682,163211,153892,120624,123570,121514,184103,189309,181626,126013,816229,825772,914287,808580,846747,824181,777498,757353,749381,825419,856865,787058,788002,797171,755649,770498,726855,711052,723772,681546,735211,681100,688425,724480,696769,711688,788934,699963,654687,702709,682568,678953,681735,703331,692372,721638,677028,553304,667096,664708,592133,670842,570361,630860,602896,642545,585574,595414,590075,573258,652761,540701,541473,563150,580299,624558,633682,624673,543363,589570,627071,568929,520238,629596,620144,544478,904041,746307,786515,726890
Caffeine,11003021,10709059,10247884,10230992,9601345,9945992,9795999,9712147,9409237,9351440,9195177,8965699,8777997,8527078,8726970,8583352,8511442,8630135,8617511,8436438,8654691,8253542,7856359,8922410,8701138,8486338,8377338,8329061,8609668,8329813,8137154,7891583,7930565,8115369,7969934,7871091,7914836,8110982,8223115,8021612,7862517,8001688,7768577,7888010,7735982,7874264,7784743,7636300,7544636,7261358,7463058,7513922,7470635,7408538,7501112,7358988,7282777,7360848,7201540,7129231,7128034,6302565,5820018,5722173,5702637,5165987,9617382,8940810,8402436,8101089,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Salicylurate,211668,190300,197558,204316,195233,196445,194045,207432,203627,200990,201715,186769,189588,200447,199276,195636,198441,205082,204282,194375,194949,197988,195621,195379,201889,193477,188347,202691,198399,194687,197070,183842,186296,203163,201040,193760,208225,179962,189909,192125,191403,194149,202850,195070,192651,200420,201329,184559,198078,187220,198460,197148,194877,204719,196655,184415,198849,191437,197235,202504,192251,164270,157771,163657,161910,145733,175407,150872,165077,159141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL DOPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Selenomethionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dimethylarginine (A/SDMA),8074576,7233345,7420367,7310673,6964123,6885918,6910053,7188739,6651336,6585416,6301282,6367827,6694863,6405647,6267782,6228426,6370263,5936276,5964161,6104352,6190359,6076277,6165500,5670636,6071962,6319872,5719485,6558166,5948679,6420902,6259073,6379954,6698012,6807332,6366257,6631321,6782233,6497669,6239249,5706682,6270087,7421199,8060728,7847335,8126841,5568695,8065613,7442107,7540717,6944801,7610629,6855432,7350374,7053328,6947360,7826840,8642351,7841423,7729671,7976673,7771317,6299656,5760373,5469781,5782787,4868472,2928745,2727912,2521199,2344189,14774453,17893639,18631262,17610281,17242056,16990877,16961005,17242347,15791274,16545034,15759034,15912655,15198414,15520109,15925991,15609960,15756705,15893177,15546082,14233639,14792575,15209564,14593063,15904441,15997986,15048242,14923736,16103215,14718075,12892871,16036930,16212505,17081226,16295179,16740075,16169027,16251316,15863493,16873695,15750720,15074939,19261646,18629849,18133531,16800622,15545325,17963468,17592999,17983121,14800560,18054423,16328068,18117811,17233105,17516268,19034016,18263594,19368138,18349616,18071054,17699678,18089802,17505561,17906116,16751669,17649341,9332013,7599013,8913792,7583705
Spermine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Indolebutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetylcarnitine,91926687,81688417,78806948,78249516,78584605,76693810,76332651,68053873,69015578,69572064,72847011,67516511,67655828,67733387,68189802,67654446,65735434,63408833,66773731,66297657,68384336,64985655,66215690,61085321,57795092,57406672,57101905,53854319,55773934,56338045,57989479,60779437,66491991,58616246,57013570,56293210,74140206,50954562,46326337,46364507,47597613,52035192,48515607,49653924,49774896,48156318,48166207,43146825,45883701,44429718,46024136,44823264,46368172,45213817,46676081,49074963,52136580,49337549,53925579,48025058,46388170,39644189,33715399,31841944,34509261,28513340,91049652,79078196,66901907,63878717,40018783,34997292,34671316,35381124,34908278,35766083,35286147,33187964,33521665,34539386,33279783,32833448,34018403,33672017,31715508,35689878,31478191,30583881,32352689,33485790,28996907,31055279,33862319,29069503,27413974,26667462,26139326,27134661,27368706,28186762,29387482,32699375,27339096,26173537,28800056,26655930,28125143,22365827,22829613,22292742,20814953,28137702,21509896,22115771,22825550,21844385,22799133,21264061,20555221,20385117,22016851,21450989,21399387,23851538,21706045,23049406,23006604,25279900,24997874,20282470,20181685,21206046,19788093,21684983,21993832,20392852,54519810,46342454,44460816,43766529
Tryptophan,14086467,13489216,14108389,13253550,13552949,12911244,13277086,13361515,12453433,12327931,12983324,12326464,12179603,12541016,11786929,11685642,11666849,12212989,12157158,11933052,12197985,12062445,11918495,11933244,11710675,11963703,11828389,11713225,12305953,12099012,11256634,11346788,10826325,11112149,11300059,11093292,11003264,11113245,10674017,10420040,11011111,10320076,10372674,10453566,10746704,10289312,10330248,10428926,10088410,9763729,10078436,10235931,9631009,10412947,10541346,11754291,11103173,10778431,10998966,10813791,10528252,8877615,8003102,7608202,7366620,7048481,11711685,11749068,9870108,9849089,19885148,19937590,18968577,19359430,19645535,18041013,18782958,19150256,18260580,18382482,18303147,17201902,17276627,16607542,17364794,16479751,16461000,17292968,17486933,16929637,16772678,16899100,16694922,17017477,17435563,17698498,16384596,17656981,17500420,17248477,16544723,16558420,16939529,15798500,16243995,16248727,15797610,15847988,16166373,15261213,15009207,15140128,15292843,15400359,15380917,15724070,14935473,15348209,15683848,14431093,14361140,14969568,15409266,15041407,15345712,15909110,15697768,16280797,16853141,16418536,16314834,16606210,15633580,14973961,15183359,14012347,20380989,17278534,17888137,17776930
L-Kynurenine,175329,196819,184768,171298,169114,165047,155362,173986,166794,142924,132111,149879,130447,150430,147199,127732,143260,120691,146130,133901,132384,136653,145194,146903,144854,126999,122154,134194,129771,129246,148190,135187,132026,127522,118781,126444,114654,112575,114783,146471,106355,102379,120292,123274,115035,108579,101880,111702,108445,101190,103341,112617,124435,105682,140838,139279,116801,125472,115105,119608,122192,96769,102699,86429,108789,84284,100799,104680,108880,100006,324497,323854,304964,293571,283153,291584,298173,303698,241837,282743,249914,270572,261320,228815,277561,253502,236515,284581,253955,244214,252306,230677,211866,246832,251835,259624,208320,233224,243081,212329,220098,222474,243987,239651,210323,222957,233671,241191,208396,211779,217921,200763,212125,215017,212623,197073,233416,195091,182298,198266,179114,213506,177564,232296,230643,242440,238935,228277,243051,232147,243104,236255,230871,226247,217027,210824,248465,216436,221280,217899
Phosphocreatine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Arginine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carnosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31859064,32030403,32478408,29614680,31923624,31156525,29724225,30562652,30459236,31267172,30011565,26978731,29377710,29621826,30716309,29817976,29065946,29222339,29306649,26562552,30198309,28274432,29484648,30090210,29349410,28257918,27947867,30914190,27974335,27690608,30757773,30034646,29464124,29765541,30054938,29783546,31030512,28576070,29434801,27007259,27650235,28217712,28469696,28383379,23335951,26728026,28175147,28389927,29768223,26984775,27491388,27453176,28212852,29354677,29206019,30102188,29527900,30183003,30194187,30178268,27656932,29254875,30224207,29917435,31086359,28690049,39956589,31123596,32639631,20607563
2-Deoxycytidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2363070,2293619,2262210,2475090,2402740,2275107,2295005,2343004,2321961,2185710,2182240,2132888,2175472,2136220,2093949,2158311,2143438,2145915,2156657,1986761,2085953,2047644,2017379,1809064,1775223,1765434,1848784,1816252,1876316,1921929,1871292,1758074,1839045,1805232,1817808,1843775,1815731,1491443,1476615,1472889,1464073,1482719,1430996,1468839,1476509,1481026,1509021,1458854,1454100,1447563,1461422,1460086,1493063,1547353,1543749,1587521,1531111,1549163,1567503,1649309,1649803,1615246,1635551,1510354,1499173,1430061,2312920,2272367,2183395,2253989
2-Deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Biopterin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anserine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3638765,3930131,4390716,3925892,3564803,3906303,3797348,3669691,3611244,3618237,3923086,3527780,3670702,3860259,3746437,3739985,3739848,3588692,3681371,3284432,3732781,3352410,3633400,3571119,3644687,3352268,3592294,3654061,3400097,3385732,3593759,3546036,3537981,3657394,3731580,3570335,3640530,3368890,3480375,3237127,3457680,3722910,3573807,3613247,2835712,3403018,3457308,3453271,3359229,3121131,3558350,3419432,3644651,3466908,3577194,3619623,3488417,3693096,3603476,3351713,3174070,3621223,3504299,3480508,3647695,3342408,4692419,4114478,4043696,2490541
Cystine,424069,496524,498796,509325,518892,532090,534292,516772,519290,529377,470167,513249,498076,503426,506389,466065,471085,484787,497767,473025,484281,531720,522002,495666,500715,535646,501564,535551,520794,491131,475369,482098,497935,460202,510785,488736,513035,458955,482310,455738,433749,460704,427039,487091,437530,457318,439423,417957,464474,416809,444799,431808,417822,429827,450348,458380,484474,502304,487867,465941,460520,373704,355376,333934,369482,339292,340469,358900,349756,311191,1498147,1547811,1693391,1642491,1817451,1717113,1641387,1731239,1750619,1632324,1684336,1600801,1651368,1688293,1666039,1663552,1706963,1641659,1660131,1566020,1682655,1681486,1658119,1712136,1768802,1710510,1772026,1813211,1692257,1752718,1657867,1743643,1675589,1724927,1733187,1728576,1712722,1667120,1594806,1530967,1610739,1493108,1533612,1496888,1442013,1542995,1543547,1584365,1505303,1495001,1546312,1475298,1514829,1560252,1563510,1652596,1588363,1697580,1650965,1582052,1424292,1546308,1576955,1634481,1684211,1700573,1651741,1521140,1504122,1432005
