Sarcosine,HMDB00271 ,C00213,86671,52502,169303,50016,95143,70727,116546,52969,118563,135513,80741,88837,110485,106160,88393,192479,111812,57374,87354,141525,93147,255038,68604,168044,63778,217351,71475,78823,161688,80179,116115,47739,47004,158406,67101,61812,64466,51612,75967,61825,107888,56838,93659,63319,73076,87001,64656,75254,75918,56844,76295,53564,113059,103912,63770,80114,61376,79850,53579,152831,77243,93390,90360,102920,118808,53472,82889,80738,73224,126501,68881,72465,75605,78907,90831,64951,74034
Betaine Aldehyde,HMDB01252,C00576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cadaverine,HMDB02322,C01672,150860,134494,164067,173625,156300,153633,136490,169164,154826,164490,131285,128269,167525,133954,157150,127261,132980,162669,147177,126268,143316,117300,149289,156193,150567,149395,132000,133412,172879,115829,150557,141491,149016,132905,156698,114322,137051,186481,139010,105248,109344,94263,131890,116407,118814,140564,153315,123251,129781,157558,97581,136540,134684,116539,103290,136721,151314,116937,127387,123567,145417,94008,132107,137577,127369,177179,134100,117873,144596,124239,136158,116025,125491,117035,121499,108681,117058
3-Aminoisobutyrate,HMDB03911,C03284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Choline,HMDB00097,C00114,28883775,28618583,162468463,22331911,40436526,40003537,32463961,23429038,175142479,23735785,57547608,29698072,157193053,109805424,31122068,40332407,32822778,73087041,23189581,64165395,41192879,22692981,62633725,17033181,19630998,23753762,36003622,28634589,37971725,23072155,35828279,29953078,14904879,30755596,88264892,28427237,22747553,39974549,25312302,25085224,34569011,20755284,18144203,29258811,35575051,23772066,22097722,19677543,22465929,12003117,73617613,23818485,22903440,25669089,24402310,50314644,25933985,27646298,15282209,21744053,25139683,37959683,44460883,23795532,17173276,17606514,44630998,17547524,18186476,26236094,60545693,23157302,31872082,25509544,23672748,24354337,16737912
Dimethylglycine,HMDB00092,C01026,292958,184449,587512,171402,1060180,200476,217443,176202,217618,232316,421021,281112,220512,257142,346109,515631,271359,167458,219854,707300,287584,536222,209533,235778,707285,930450,380711,183930,459697,487831,472374,317022,378076,526856,368984,261026,204658,254726,164095,297286,267808,239039,455321,478627,151357,664558,313636,208633,198706,170590,231770,340173,285130,450095,252430,539699,362583,240998,280831,286424,324087,252419,259808,815892,297371,375428,428693,276804,416954,282185,330620,378829,213305,555631,248291,173629,348435
L-2-Aminobutyric Acid,HMDB00452,C02356,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoisobutyric Acid,HMDB01906,C03665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Serine,HMDB00187,C00065,4867672,5175841,7996507,3313030,5034182,4670955,5657611,3503934,6505336,4196020,6302162,4917691,6778982,6371971,4726526,4884593,4632249,7014498,5098652,7076662,5203688,3960647,4700603,4084420,5112166,5730440,5472015,5477966,7077199,3921852,4856898,3150496,3048221,4888643,5500095,5175930,4415719,7407608,4139526,3172678,4873400,2997101,4723372,3224194,4783925,3839721,3235610,2724772,3293056,3538478,3482882,2668149,3946708,3340015,3990764,3395607,4944460,2553157,4739076,3285090,5147186,4072102,4154522,3948987,4342413,3072482,5930167,3556069,4426764,5907376,4404856,4316501,4252452,3702227,4211260,4250018,3863510
Hypotaurine,HMDB00965,C00519,7263,3251,7684,6193,4963,14693,7434,5804,7284,7340,11611,6588,8192,4801,9158,7800,7444,4134,5273,11070,8921,8676,3718,14401,8290,10270,6025,10627,8701,4152,5030,7793,1723,6234,5734,4360,5824,11350,4548,4286,10050,3347,5179,3821,5386,8691,6521,4044,2029,3907,5250,8545,2657,2634,3130,12173,6335,4211,6492,10668,7581,11128,6391,9215,5519,7216,13705,10457,10498,16431,6013,6472,13567,4092,9064,4122,11195
Cytosine,HMDB00630,C00380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Histamine,HMDB00870,C00388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Creatinine,HMDB00562,C00791,19489169,24581437,22816202,14020482,21672814,14777058,12386169,18389799,23168708,20538102,16714308,25458798,19639101,18145758,25481703,17492661,17646085,16368211,12610115,19969660,27489708,16851524,13520370,15829432,12876761,16342918,12694141,18146448,22542147,21348091,20645088,14301028,12085372,15468204,21463753,22210713,20023754,15020218,13612105,13365144,15508358,10083870,17197106,12182714,15420921,13546216,18193429,14996178,25264465,15767361,19850799,16858019,16886916,21551386,16172941,21534744,12233068,13640897,19452555,16117799,15054149,15293208,13124862,17589046,14414459,15061128,19259060,16558310,15179789,13858855,14928207,17242724,17062231,22127095,18399630,16284973,9563594
