COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(S)1_Batch8,QC(S)2_Batch8,QC(S)3_Batch8,QC(S)4_Batch8,QC(S)5_Batch8,QC(S)6_Batch9,QC(S)7_Batch9,QC(S)8_Batch9,QC(S)9_Batch9,QC(S)10_Batch9,QC(S)11_Batch10,QC(S)12_Batch10,QC(S)13_Batch10,QC(S)14_Batch10,QC(S)15_Batch10,QC(S)16_Batch11,QC(S)17_Batch11,QC(S)18_Batch11,QC(S)19_Batch11,QC(S)20_Batch11,QC(S)21_Batch12,QC(S)22_Batch12,QC(S)23_Batch12,QC(S)24_Batch12,QC(S)25_Batch12,QC(S)26_Batch13,QC(S)27_Batch13,QC(S)28_Batch13,QC(S)29_Batch13,QC(S)30_Batch13
Xylonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phenyllactic Acid,412389,429662,409654,427960,406578,374224,446203,425682,467146,448964,468287,435004,454387,453943,468510,430173,451653,428558,444728,462582,418344,437788,456960,433744,488889,468224,464389,471698,474305,470573,675810,674433,542298,639681,564986,638163,647842,668402,588090,599850,586942,679133,643069,630346,652141,624256,642648,645624,665139,667987,593021,634729,667142,637812,640475,656454,654281,632180,645571,662863
3-(4-Hydroxyphenyl)Propionate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quinolinic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Homogentisate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Urate,36121267,34478918,35708429,35841997,36004507,36057414,35259275,33226679,34610720,33638621,34299871,34581880,34794237,34297209,34510091,34572258,35621436,35421989,34743135,33398555,34309014,34355423,33868517,34413227,34201695,34363280,34966897,35509545,33938017,36288177,2513561,2418815,2232572,2169972,2179868,2149942,2211213,2178419,2041410,2115000,2123493,2092825,2132340,2276065,2158187,2124019,2372387,2177378,2125073,2585284,2431301,2154740,2193168,2275346,2010106,1981683,2119019,2050802,2459372,2154501
DHAP/D-GA3P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerol-3-P,362842,346596,353949,347393,376861,363573,372227,359238,341907,332215,357434,351774,353278,338158,331974,350162,348772,335386,317555,328681,320061,321538,324501,341311,343593,322195,335553,317583,323014,325928,277168,272986,270435,266488,283694,291917,289763,260007,265991,268842,279273,275535,287260,268473,264802,257378,267743,256623,255091,265779,254009,250632,270143,268060,270937,269455,256630,277612,276652,269132
trans-Aconitate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34978,37891,37611,33958,38137,36225,35271,36757,36938,34836,36119,34271,34363,38386,39304,34090,34720,33680,31793,38039,35483,32209,32816,32097,34435,32147,32051,32630,33414,32376
Shikimic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cis-Aconitate,60369,49948,53038,49140,52689,53498,52075,55679,54978,53617,51552,52605,54483,50294,49784,46434,48502,47462,46976,37915,48754,46758,46088,43596,45848,44051,48324,42512,38470,40046,90703,87235,88742,101184,101287,90678,92439,90585,88448,88959,89881,84182,88440,82847,85092,81091,81110,91317,79901,73793,68811,64853,73437,71013,58795,70867,65264,71227,56971,66251
Suberic Acid,152518,148088,153769,156301,148189,151011,154333,160151,172696,158195,132405,173184,149016,154746,180154,163120,166834,174485,166001,155252,156231,168184,162073,152267,153054,151598,169388,158779,154864,157086,127295,151269,149706,164975,172434,155728,164194,171908,157954,143776,148114,152948,149262,156167,160131,158709,162121,154995,166098,163660,165273,160291,158383,158137,159716,158163,159880,151596,169152,160544
Indole-3-Acetic Acid,300993,299597,315062,306172,359339,314948,306407,302780,323838,324126,301706,314454,334298,312263,309273,320054,306931,311320,325979,297468,285875,333280,306300,309668,313913,319491,303004,299822,306613,307978,43647,43158,40047,40015,35462,39359,39321,32004,42015,41120,32380,36486,30997,35490,42850,44434,36980,41973,41756,34513,36454,33908,31693,27516,31214,34666,35971,39103,36624,35484
Citrulline,14223242,13863760,13662162,13141148,13370208,12573217,12729856,12737759,12492410,11905733,12330570,12349097,12095237,11902753,11942505,11774210,11875148,12088165,11819366,11569624,11268493,11521273,11756948,11518440,11524822,11211813,11581023,11251621,11524315,11603068,29009286,29399521,29292505,28037321,29246648,28870856,27849933,27378547,27040286,27326828,26401506,26294264,27528197,25820969,26324395,25555975,26436062,25783924,25226014,25963930,25563131,25346800,26039665,25909821,25279838,25257924,25267302,24949709,26074124,24965478
N-Acetyl-Aspartate (NAA),181852,148586,122268,105091,89324,86896,83719,80748,71708,65306,58596,69936,70630,65346,65973,67285,64214,63726,52202,52386,53273,53114,55877,50456,50401,47219,49651,43700,51076,49547,185585,172110,142066,112903,108120,99445,107559,97559,92567,88739,93671,87761,83999,78906,89924,86534,84078,74244,71631,67464,66103,73324,68277,64830,65910,69357,65113,63732,68513,59979
Ascorbic Acid (Vit. C),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-isoPropylmalic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-isoPropylmalic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
n-Formylmethionine,41379,43851,48518,47567,46045,48784,47601,42900,46642,41402,43639,42719,47999,43885,39770,39066,43401,39441,42286,43666,40017,40811,45156,40978,44499,42698,46901,46028,47176,47624,190060,178137,174971,198557,172786,174413,179217,165179,169597,176618,165988,169955,171342,162628,176181,167463,158494,159083,162983,176632,162288,170349,180133,170069,168525,180506,166512,162920,165287,160360
Hippuric Acid,1292331,1291773,1305802,1311426,1276743,1271605,1287253,1256548,1211755,1164369,1205366,1199121,1184658,1225779,1171913,1218127,1214269,1167831,1222434,1227615,1145381,1133569,1172155,1156757,1138109,1119193,1181659,1174825,1152655,1101814,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Inositol,999572,1011804,1000261,935807,953268,974946,960511,973248,968206,975937,948451,955119,967475,954380,936813,979606,963194,957389,936827,914164,971748,917574,926880,951973,910325,952763,937264,941202,963613,941472,838763,886076,876579,860706,847309,891717,884472,857113,864293,868537,890390,841085,876287,848083,871062,842352,864084,857421,821018,844826,833890,856078,872655,849898,878166,833278,839452,855892,842058,850587
Glucose,25932414,26059434,25754610,24618491,28663609,25806104,26591236,26875163,26071598,26886193,25760712,24836524,27544346,24598239,25056274,25579996,25513098,24838330,24139143,22354881,22813431,22808806,23169932,23006762,22749890,21572733,23138804,22573037,19712597,22549998,23209261,24517777,23039984,23438208,23301341,24287164,22786048,23550447,24830637,21768155,23297299,22095764,22692356,22008911,23044045,22406347,21379060,21440121,21126578,20034264,22020207,21743159,19951521,20020343,21105114,19981692,19020569,21130956,18693445,21074414
Mannose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fructose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OH-Phenylpyruvate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theophylline,275012,294399,295201,299381,291524,303369,294362,301311,297186,286767,304782,295008,318889,308276,317318,316371,296307,326036,328775,323018,302149,304645,336035,325482,323122,310024,316755,329122,319516,326526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sorbitol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Homovanilate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mannitol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4-Pyridoxic Acid,188425,177780,188541,183903,182647,174055,188315,184557,184273,182201,178525,178572,174541,173638,165408,174123,181785,172621,180200,184545,177637,177380,182771,184790,170454,167010,171714,175518,187198,183715,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphoserine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2/3-Phosphoglyceric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Azelaic Acid,560231,534867,554851,581806,594094,589126,583928,554783,555711,577578,565147,600059,550916,556213,527743,568089,530768,584354,561372,555103,533183,534563,558632,532965,524682,543289,577093,581636,554816,548115,240122,216529,241412,236500,249688,231943,240527,240831,230954,210251,239041,225984,209428,228710,225990,235909,228418,237575,242905,252673,234803,227745,225799,244712,232817,229524,248642,233460,217421,215680
N-Ac-L-Glutamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,117402,123011,105551,111869,101597,103323,104646,101491,103802,105279,102843,99023,90357,87503,92299,95859,94523,82812,89172,81170,89814,83288,90474,84460,80650,81640,90828,88224,82306,94069
Kynurenic Acid,151029,147063,143960,144407,144931,142221,153565,144609,159583,162793,157870,146590,146257,156208,150215,142745,155155,158994,148494,144152,149363,151345,162103,158829,156854,162120,160211,183450,150776,149771,5144555,5187919,5094496,4784807,5080691,4965083,4966928,4830249,5099202,4777312,4792741,4784377,4637274,4689627,4708553,4792268,4925397,4628943,4538217,4533651,4459068,4605187,4671396,4846647,4862255,4708101,4862378,4841881,5096721,4719453
N-Ac-Glutamate,55473,43648,41889,51227,46923,58850,47091,50147,48641,43250,55112,52207,55859,53155,50387,53081,48906,47072,57248,50195,50157,59274,47139,45174,51469,48535,47097,56103,53816,44615,47170,52377,49848,52148,47229,47906,51034,51483,47800,48756,46109,53091,45241,45387,47069,44558,50061,48800,49192,43442,43630,46721,53651,48309,55823,48479,47966,45480,53033,46984
Indole-3-Propionate,209586,196793,176183,193005,207474,198468,201665,205603,200040,196376,207173,202577,201719,217690,208002,216642,197106,192220,211116,200898,201167,192719,193117,190644,186035,186303,194502,194564,198893,181418,460362,467335,450982,488433,513899,489125,475722,501939,478224,484774,492079,489028,487218,481017,473274,485529,465113,465446,487235,474177,471954,487157,481973,481068,436503,473146,481559,430277,474375,461383
5-Hydroxyl-Indole-3-Acetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Methionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Citric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucoronate,1998856,1966917,1860781,1775765,1700244,1762015,1669534,1678699,1647155,1559382,1575169,1577403,1572244,1531267,1474293,1463095,1384790,1335976,1411197,1326736,1220948,1262323,1397342,1305429,1307896,1240126,1318833,1330291,1263714,1302937,1861755,1711870,1616119,1593243,1561767,1489671,1533812,1480390,1403411,1418781,1397781,1372083,1259791,1290790,1294119,1230915,1249078,1163041,1145715,1127635,1037364,1128395,1133612,1050685,1179279,1107904,1155020,1142801,1040471,1061919
4-Hydroxy-3-Nitrophenylacetate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanilmandelic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erythrose-4-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cysteine-S-Sulfate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,394003,339494,309954,303800,290756,284087,301053,283581,278248,265702,269651,264615,266734,261521,247003,264702,253602,261317,260653,265930,249216,251068,249795,257808,252644,271049,259899,245874,243474,246133
IndolePyruvate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthurenic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indole-3-Lactate,583985,618823,610494,614170,663500,643616,652589,621824,645307,597108,616902,635830,638977,633689,635100,623056,614629,648137,614359,615065,595713,602279,596000,609110,608470,580725,614721,617672,588269,586802,651281,696375,670957,720929,720833,697376,711125,693807,685917,687099,704448,664194,692681,693551,715036,664402,685493,691995,691540,669815,657013,654268,677716,650161,661203,665220,663844,657931,663343,636239
N-Ac-Phenylalanine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,237904,230346,231981,228533,230056,220090,226944,223055,229738,216946,217958,212899,220681,226393,219895,228862,210019,212770,198180,195787,192744,203836,212986,202824,218790,208873,221715,214364,198569,202713
3-Indoxyl Sulfate,4216694,4038686,4175016,4508523,4508138,4355177,4520293,4311662,4257957,3968874,4183222,4267260,4150576,4198613,4069777,4151600,4084419,4094787,4035267,4026022,4004001,3842361,3990140,4003255,3896636,3905647,4046644,3916112,3945333,3878612,15663796,15679674,15875579,16089036,16710617,16150440,15854689,16101044,15425388,15145161,15303206,15648675,15138329,15156395,15702703,15228181,15185971,14395452,15647957,15054164,15107819,14621024,14840416,14989899,14584564,15305786,14974554,14725434,15477567,14359301
Pantothenate,400466,387228,372846,375410,362303,387617,366008,368643,367959,354812,351643,351280,344541,362768,345677,353363,358838,366512,326470,349273,338833,346669,372729,335568,346479,342247,362922,381504,357428,377328,649809,649265,658812,662929,653330,636943,660155,605032,607765,594450,600731,608825,586145,612884,612427,638995,585053,592537,596258,575304,570304,597956,610395,592153,607818,604522,604913,616797,646934,615315
Cystathionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,842782,883845,873340,828672,836651,840950,869862,832549,844602,837106,829780,849800,823938,814841,805289,811055,834814,821394,803783,788368,773385,787314,796844,783553,855784,773412,806957,811225,803969,779094
N-Ac-Tyrosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,118667,124218,120111,117357,117172,113692,114683,109119,112842,120428,113656,113551,108471,109249,107030,105571,105449,115905,113916,115015,104767,119394,113091,111126,115286,114400,113328,114470,124947,117647
Myristic Acid,39233,48320,49729,47300,42534,50405,43535,39506,45319,40390,48308,37486,43232,46594,50608,46799,56602,49605,41607,45594,49939,55810,40356,52819,55814,42323,50828,50169,49683,64388,31832,28536,25709,24454,21821,25650,24771,28033,21408,35323,31926,32054,23191,45518,35014,28045,30779,44237,29464,30388,37078,29771,26887,30322,29948,33981,23850,38353,36981,35948
Ribose-5-P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67434,56161,55310,54942,50605,43537,58417,48417,49397,41785,43471,52854,47927,44854,52773,49057,48600,47341,44567,43061,44044,45685,43771,43558,39960,46323,36490,41848,41941,40491
Ribulose 5-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Melatonin,62350,70188,61304,69738,60064,63664,57251,57036,62232,66178,60283,58851,59002,51930,51568,61421,49272,52596,49312,58184,43546,49718,48809,46695,47163,52609,50517,48925,50360,46535,19127,16996,13349,14152,15927,10714,12112,9391,12055,10283,11104,10995,9809,9824,11947,10329,7714,8024,5938,6305,5734,9134,7224,7326,6479,11005,6556,6477,4611,6892
