COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(I)21,QC(I)22,QC(I)23,QC(I)24,QC(I)25,QC(I)26,QC(I)27,QC(I)28,QC(I)29,QC(I)30,QC(S)1_Batch8,QC(S)2_Batch8,QC(S)3_Batch8,QC(S)4_Batch8,QC(S)5_Batch8,QC(S)6_Batch9,QC(S)7_Batch9,QC(S)8_Batch9,QC(S)9_Batch9,QC(S)10_Batch9,QC(S)11_Batch10,QC(S)12_Batch10,QC(S)13_Batch10,QC(S)14_Batch10,QC(S)15_Batch10,QC(S)16_Batch11,QC(S)17_Batch11,QC(S)18_Batch11,QC(S)19_Batch11,QC(S)20_Batch11,QC(S)21_Batch12,QC(S)22_Batch12,QC(S)23_Batch12,QC(S)24_Batch12,QC(S)25_Batch12,QC(S)26_Batch13,QC(S)27_Batch13,QC(S)28_Batch13,QC(S)29_Batch13,QC(S)30_Batch13
Erythronic/Threonic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthranilic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4-Hydroxybenzoic Acid,13351770,13961535,14090842,13522100,13863510,14101123,13363913,13707285,13642079,13358011,13963387,13773474,13914573,13789313,14215970,14004053,14161864,13900943,14395911,13803114,13887174,14300805,13573912,14297349,14483997,13630959,13784885,13927898,14266578,15357166,119104,111956,124559,113065,128305,112997,121104,120671,129573,133123,138776,123783,145123,127734,136880,119865,130512,140562,144508,129903,135671,118149,133471,139688,125802,141033,125918,144575,144942,144059
Acetylphosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
o-Phosphoethanolamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,174750,167073,170376,171286,179949,157517,171312,172000,169263,170174,155355,182764,161071,151027,155038,168531,146286,151235,146974,142023,161033,157352,144699,140292,152822,147828,156194,164949,146715,142040
n-isoButyrylglycine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adipic Acid / 3-Methylglutaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alpha-Ketoglutaric Acid,2147529,2205615,2180519,2068198,2124053,2090810,2071399,2002582,1980217,2021231,1925301,1937255,1940389,1921205,1981513,1990606,2009232,1924408,1840113,1786022,1774811,1840886,1814876,1745487,1747421,1769142,1865277,1771882,1823650,1897785,1918250,1950855,1794180,1643748,1594636,1634268,1605002,1655867,1559639,1491898,1481857,1487258,1463626,1469642,1450624,1498774,1419657,1453243,1349115,1341439,1368381,1320894,1341702,1399940,1293385,1304104,1418539,1413136,1386352,1426828
2-Methylglutaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mevalonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
