COMPOUND,HMDB ID,KEGG ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320
Indole,HMDB00738,C00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Threonine,HMDB00167,C00188,20430259,16581566,13830653,25556923,17715038,27659412,18224146,9327255,10911103,17687344,13424709,10762851,13806849,8170217,10502292,21806921,13197254,26299211,14676731,23389190,11775106,23431910,16405354,19195820,12257466,12683931,12025513,14703552,14900252,17800040,15393788,15746843,16857234,18584851,19336696,11023191,16818580,12817795,13409288,15451900,32299928,21245579,12347238,18388608,12793028,13498277,11096960,16638356,14323079,10083071,12348180,9962410,21251425,21082585,21991368,20733980,18540895,22694599,13582699,19832231,8995636,14359598,13904892,15448623,14260765,11319204,11811441,13578440,11290327,12927736,15827241,20485798,12003143,24995937,6931909,12428953,13352829,11906246,21353419,11149114,25636136,13515096,17298414,20096080,8797983,15381421,15307005,12338853,9334367,12235810,23332052,12976155,14069699,13796449,15397704,14902888,18710107,10297584,16234899,21023321,28845918,9683954,23895205,10475234,25229033,16799722,19464291,23594055,11989664,10278738,22247961,11078986,12131326,18360718,10412777,14731462,15938702,15600961,12222080,18079367,14990123,21477558,12453757,14709003,13014298,11149104,20843622,20405775,17914012,19980901,16023677,19052538,24696988,16066866,11383600,19785438,12474389,11493087,12052412,18670368,19852924,16757271,21062414,29630128,13307190,11151050,12661020,15951685,13620628,21549867,7152049,23045733,14058200,22997129,13770147,7593312,17137768,18095144,12515629,14272472,15786641,47700129,7638230,17509372,12299500,12104515,12613001,13729801,12119876,23600822,15532747,10740234,16142912,11403546,19438263,7808327,24674060,13496931,17204601,16190336,16546305,13159934,23487254,23954262,9384740,12652691,19236504,16918559,14740136,14915815,17068057,19175230,9575783,12158088,20208911,21354010,13253123,15735883,14719007,15318142,12577910,11858586,15708919,20710158,12714135,10244799,11955637,16615372,14857394,14540579,13633640,20005932,21188548,17121617,12313711,14904226,13852349,12409856,13723554,12377139,9027239,14208901,12513391,16020984,18370338,10476185,11712800,8362971,13018011,12864634,15022065,11263830,10129434,12366062,10906642,14219992,23804872,16173645,9212238,20987611,6610964,14301887,20266265,7751536,11384993,8151080,18534819,34951422,23839063,9663577,17569634,14379408,17544380,20621404,22644637,9652375,11232972,12153853,13168116,16128998,7415986,13491466,18693088,19311847,18093222,11603928,15287460,9889428,14023922,15196471,5347322,10482973,22761442,19411680,13551002,6138249,19000584,14991584,21329095,16043625,12916604,11011762,15209656,10432204,20150042,18087353,17862103,9417458,10577191,13157412,16098983,16835707,20989469,20089032,16115412,9157742,13481254,12529377,13050081,10866117,16085841,22308794,17103477,12252226,13800997,9517172,6480023,13651104,7821902,16445861,12925153,8967708,8445198,12913745,8548177,21926062,18318085,9789672,15244550,16915851
Cysteine,HMDB00574,C00097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Niacinamide,HMDB01406,C00153,991080,2001829,1015457,5678134,2000047,4237132,898643,1444597,2535645,604403,2659267,473656,3520016,944042,2797378,5583429,1595608,256766,12365835,560615,583780,608824,6161724,4049298,666440,1193242,1258906,845107,2515379,2142442,6082522,913136,2534840,1660108,4562891,131236,1256450,728281,539559,2863490,811362,1235578,2843357,3060416,1643456,241108,486576,940628,412985,148698,520878,234922,1032055,1536318,1290331,3129265,442224,2370331,971426,589982,1109725,3116716,118973,3589499,275343,219692,616250,1070295,5622660,738269,137044,1091963,362585,688426,693305,816335,273312,90347,475500,352760,1430919,2007284,1280749,578575,328486,686762,1012246,1083159,760881,1323971,47704,267486,2262480,1183105,275977,565724,962284,1749979,1739663,148935,520836,170401,752766,228529,1810609,N/A,128124,4681743,951789,147353,3887939,323267,727224,384834,873163,2408241,139790,376044,68605,675865,302191,1774441,458193,195169,289883,2598633,1107568,362897,1233754,1344240,887170,271938,185261,2808636,1925515,1014737,834360,1122414,81025,1796034,3162384,151984,2939662,10202903,4298142,115783,794145,136940,867175,2594747,49405,1083872,475512,305742,1194327,839005,1764302,962843,224548,790538,439847,14427185,5232297,3307510,416832,155073,314805,538350,35431,682793,878717,163507,908337,369915,802547,1700418,329833,101346,102527,508748,235452,372238,531791,517916,2186753,281080,672959,542894,1589969,2334352,1192640,2239847,170370,554995,735874,1520086,928628,366137,3800374,1351096,223133,1492624,1433907,4103774,785765,13598568,519272,909014,335242,249041,534359,358445,917166,1830568,1032375,379420,653110,2103982,2033815,923669,259932,11690873,112309,3991536,522515,362588,294002,677631,411444,109906,2079027,586098,907721,510438,1345177,1680039,547659,187936,133154,2178578,1822168,1614773,1621676,3245609,1424348,62764,1391953,753230,661735,1307696,1110104,1015457,913950,1283813,725847,930120,156242,380913,473992,817425,59165,267092,2066533,1547604,143139,880792,2819285,2918048,431483,414514,1769642,4368528,290184,74643754,710952,406628,2377296,380507,582994,868485,1335949,876555,1021524,1601336,111715,1014910,246605,199608,552440,128921,570445,3060301,1034993,658556,371467,2734527,1146871,5322479,1779369,791776,4103928,4188495,179846,827739,783866,743195,1671813,966967,1996602,1182914,2502050,555156,151977,434122,1735350,1218834,1939091,1295311,127409,600226
Taurine,HMDB00251,C00245,1938616,2488254,1980341,2464883,3012447,4762128,2437457,2204691,2147873,2151500,2562935,2034244,1862086,1876894,2273534,3715154,2059831,1921633,2627859,2189479,1601002,3101642,2507670,2397656,2462360,1753047,2497321,3252227,2286203,4401041,4793081,2018238,1977636,2835260,3000357,3067039,3299537,1686781,3209007,6411719,2159156,5828625,2208601,4582632,1805639,2406378,1818196,1953707,1987191,1865726,1803118,1378534,3813308,7036915,4645602,3390443,1674498,1899839,2660083,3249117,1459844,4456820,1664636,2982641,1335074,2114149,2032044,1732248,3358580,2742836,2025787,5462624,1818654,2148546,1881090,1938968,2965598,2057037,2012671,3384836,1842619,2156050,2977662,1491411,1525693,2494310,2616760,2917939,2287958,1656088,1792284,2643517,5059104,2872346,1577055,2525949,2131451,2294933,1570060,2217208,3694702,1346976,2950112,1638390,5864738,1978692,2792998,5172265,4466772,2167000,1620718,1425398,2366627,2384014,1536279,3255289,2715194,2160102,1896221,2027794,1582377,4420206,2316406,2046628,1661302,5982150,2062178,2639232,1881230,2293572,1771887,2555904,1905155,6384033,2485493,4252658,1797540,1806726,1603623,5184038,3055319,2108452,6258338,4462481,5343369,1837727,1654125,1842803,3497500,7697986,1039641,3447445,1676974,2453171,2009230,1707607,2391808,2329601,2563573,1655312,2332268,2746119,2786525,3255940,1439393,2004871,2082624,2278571,1732053,3636412,2714404,1937884,1756035,1680974,2171113,2614154,1919827,1866794,1516005,1909316,3469505,1613097,1934620,1934548,2436314,2305274,1988578,2952142,2410350,4344226,1841676,4057099,1642752,2471232,1530598,6394293,3522708,2398728,4966114,1323539,1784908,2319861,2708764,4135083,2265415,1646459,1651742,1816717,1665788,2051188,2875087,1727829,2440784,2873614,1471170,1705475,2557921,2643312,4847001,1598614,1341424,2438615,2325988,4177102,1818714,1890505,2228165,2485875,2690018,1461147,1793098,1243757,1722232,1717140,2061188,5404656,2073175,1727298,1436005,5169932,1643469,2719314,2560355,3005217,3029608,1242030,1545706,2186828,2321383,1536043,1991434,1195417,2656444,2347980,1772255,1756326,2119244,1181697,2685659,1908926,1486523,1514012,4566194,2352931,1591296,2168876,1602369,3079673,2221773,1290842,1928385,1239608,1762263,1710022,2385941,1714623,1461623,1471495,2080189,1339646,1295347,1249098,941077,2384843,1344526,1273725,2206322,1459731,1768343,2241025,1544691,1711733,1986617,1463371,1915072,1787498,1467312,1964600,2002143,1387242,2701541,4039077,1363730,1727671,3541957,1493604,1961344,1223180,1225584,1335138,850743,1305336,1014953,1422607,1809445,1272511,2501316,1533353,1229204,1294698
1-Methylhistamine,HMDB00898,C05127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Imidazoleacetic Acid,HMDB02024,C02835,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"5,6-Dihydrothymine",HMDB00079,C00906,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyroglutamic Acid,HMDB00267,C01879,1631355,2479577,1522900,1551406,3740827,5206260,1108375,1178011,1463752,1171275,1579905,1582488,1719490,990481,1501648,3064502,2261942,1019631,1596092,1702725,2194091,1506176,5589715,1338830,1277043,1861958,1428660,1207114,1503588,2670454,4354755,1848885,1234527,1409708,1836612,1548246,1241039,1071924,1641037,5907922,1633708,5503326,1477717,1837811,1796728,1758557,1534117,1250304,1129716,1528913,2222353,1986557,2084774,4768545,2118005,1327910,1010218,1359832,1452007,1216611,1450106,1564439,1214804,1133991,1924194,1946990,1529413,999616,1289978,1395612,1946438,1600002,1486201,1617611,1138614,1755823,1967739,3587817,1497669,2389610,1507541,1139570,1617879,1620792,1305485,1875620,1595094,1792124,1274564,2015673,1464449,1884073,2986796,1635801,1359469,1690215,1869951,1114626,1308093,1986977,2591911,1344654,1860409,1244068,3232035,334192,2551700,7055013,1873074,1748899,1943724,1672971,2190830,1607163,1287125,2225270,2005758,2105437,1427065,1529752,1761082,2589238,1940307,2252605,6076994,4002789,1843263,2427173,1742899,1789664,1334450,1538783,1433553,6546150,1945257,3151927,1699036,1487343,1420954,5205500,1492254,1597990,5726419,12862899,3609062,1791612,1593279,1551896,2264220,5561378,2168078,2005765,1460996,1861094,2749825,1460366,1669737,1570295,1342471,2253637,1081524,1631066,1667030,1676368,1503417,2861928,1267380,1866096,1490311,1247355,1217467,1625873,1653464,1170088,1233351,2018394,1234945,1540525,2374704,1069075,1763556,1456320,1859109,1544328,1811232,1657502,1284972,1568349,1243820,1971746,1327542,1811168,1401137,1085380,1319246,4902274,2615836,1287493,3358362,1981230,1330712,5078467,1204632,6859753,1355301,2024028,1834583,1527737,1905270,1232559,2353441,1255782,1622473,1658323,2179424,1415383,1210007,4396076,4367297,1579682,1198226,1977833,1181876,1867973,1876386,1515232,1489340,1431926,1883138,2073714,1911479,1008851,1022189,1077422,1478071,6546807,1129256,1106935,1256936,4061502,1367962,6600726,1549196,1380282,2536375,1507360,1122610,964539,1256083,1423310,1419358,1392681,1933038,2548922,1654239,1376210,1554273,1740010,1074701,2138202,830013,1477435,2499685,1492988,1721140,2025280,1435992,2711298,1489035,915944,1011364,1791918,1990465,2184264,1392507,1051736,1310521,1372062,2009762,1542858,1479525,866775,1363566,1702899,2348763,1964297,1691883,2177206,1237812,1163574,2574560,1340882,2031475,2418457,1451545,1031536,2037637,1439933,1854987,1352791,2565556,8868772,1653301,2363177,1511014,2769002,1427491,1455077,2759730,3296017,2219866,1124306,1653161,1407745,5232944,1882789,2601677,2084058,1269928,2310314
Pipecolate,HMDB00070,C00408,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
