COMPOUND,HMDB ID,KEGG ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240
Anserine,HMDB00194,C01262,2722291,2880059,1873840,2063183,3142867,3355015,1475119,3840122,2125681,3234395,2333227,4044165,4381379,4233172,3053372,2265912,3120149,3449029,4131209,3259478,3032235,2814765,2281646,2169410,2312232,1112699,1691083,2924039,2800562,7629675,2481426,3393057,3019949,4246030,1266939,2090376,2247259,3684171,2455810,3910551,2409202,1911979,2152780,3097730,3911524,2667344,3099685,2684372,2868061,2834446,2769070,3257171,2650835,2673831,5314286,2930174,3231052,2647886,3305450,1968947,2340051,2173820,583166,1915687,2925306,3486112,2815793,2194986,2475553,2086923,2921222,6643374,1699902,1899358,2316749,2613450,1456314,2943085,2347923,2595732,2123389,1967308,2373658,1369236,3759596,2493845,1456687,3786101,2534972,1280715,2460061,2195386,3047296,1987217,2844723,3477174,2998380,1170491,2818540,2378608,2503449,2606892,2217849,4250109,2014055,2436567,1814494,3053859,2474854,2907705,2052304,2524456,1942216,3033440,2733487,1678553,1655171,2379340,1601262,1977296,1995220,3878780,2836534,1379911,3792163,2178226,2051928,1671376,1370665,2503813,3014694,2169088,1560604,1751908,1980691,2525118,1952819,2605132,2900937,1877481,2448947,1905267,1700937,2179993,1765135,2205263,3052783,2264098,2848432,2027934,2254943,3273290,2075065,2080013,1771623,2567618,2918355,1666634,1632226,3364868,2741179,2045194,3358275,2182067,3439799,2261478,1261643,3041020,1743143,2498182,3309685,2648840,2829518,1281546,979500,2289661,1857987,2059942,1471979,2688688,2517418,2048951,2564805,1829831,2261187,2452933,2050021,1715347,2154915,2045611,2565833,1650558,1864062,3540621,3166349,2197213,1893940,2016618,1226999,2701035,2278817,2857808,2131140,2262260,1431694,2320581,1418943,2303897,1920479,1795453,2146521,1970164,1535162,2473612,2148095,1552864,2631214,2343259,1851577,1765989,2129526,1841519,2265798,2302921,1561416,1661577,1806908,1149901,2269487,1960968,3382069,1549602,1877611,1747352,1445422,1372656,1449601,868845,1626731,1114384
Cystine,HMDB00192,C00491,287767,238041,181961,340989,152927,606330,280808,384820,231591,532569,341258,289426,526249,326477,271289,400832,241586,1043543,621418,430245,360320,201848,310318,266007,362768,398044,214894,491505,219503,187501,233694,351289,261700,336115,252024,573436,357086,219023,154328,181866,312975,349164,159993,320876,576760,247362,257246,280696,285914,330084,293993,243215,289085,450317,340836,472451,384130,261921,477890,186197,188160,381543,230867,242069,311588,505398,321197,233327,293622,587902,319048,364616,197057,205762,205006,250852,204464,195207,134568,305632,154404,224668,293558,401950,388383,472152,342604,386435,364287,279242,697105,216236,345536,491156,290945,607643,503391,272549,250902,416099,396185,256508,705171,436909,461101,686094,401297,363884,233317,351088,186940,307854,258756,310597,554462,257923,357947,343043,231206,529811,399304,509392,237169,318419,329121,196421,235119,157116,333844,711961,269947,315026,353931,402394,209489,451071,317916,286607,249622,498522,166405,272915,255395,251399,513822,207316,608250,291366,366187,262761,373247,191194,199354,345031,225244,221936,224199,323746,353343,499089,380921,165741,234997,283213,175740,474386,266769,532868,289880,269366,272761,298882,321020,388441,201438,573371,254459,230310,201863,408344,313552,318351,336716,298865,309380,159340,135209,250259,212662,245355,222554,257409,351275,234867,667686,405987,229337,386873,173063,445000,309861,558768,293652,1067705,324926,388020,407592,322947,403902,395208,267141,239781,187836,643943,325062,399043,383485,514090,327862,359986,645523,379319,395220,259605,291088,479746,239147,291176,126865,478414,404748,610569,199930,286431,398922,270099,236583,148957,140361,358665
Cytidine,HMDB00089,C00475,922363,1195653,998025,1267443,1387319,1877651,1163828,1478302,1620228,907660,262645,1225759,598360,1746325,762414,630820,2465402,714255,1408913,1219037,1078453,714471,966330,2260375,648558,627745,459308,568313,1424427,1492109,914874,1490707,933086,819704,598763,581149,756903,1746087,1159626,913842,1681475,1098717,1355716,831709,1540136,382406,1788436,2043326,949562,994999,655341,1304682,1542101,1778285,1122458,1119718,752746,583780,627444,744481,1161974,1275710,831491,639950,1307904,2406510,2036272,530420,1850666,1000214,332163,1010637,747671,814698,961211,899552,1582856,615809,919099,856686,747964,806483,1378802,1835388,1134289,817583,1547034,1337990,962552,450436,1706236,708404,1472768,1726592,296885,761893,1194291,459910,903567,1027025,873062,555025,1792527,639658,3162707,2718222,1342103,1741600,856265,234699,1058751,524473,1041313,1200069,1833713,364335,979062,977610,927567,1964922,519184,648358,842877,2317291,916575,1017595,717502,794244,1093264,1773763,1406318,635111,675391,1448253,977155,970995,1008863,1892871,472594,1788614,1320268,396967,1519448,569665,3428991,1097142,2381856,930924,586524,338293,1369501,716049,1175351,1044607,590816,700394,1223598,707877,660970,843449,1411961,2217264,1540109,868206,802503,1771629,487847,695491,897783,1237898,1102761,705809,977923,710541,1521475,593758,391367,875372,433733,944630,852343,1514522,2509404,766404,874798,854368,568863,1201559,1120099,323881,608699,689799,928486,1206288,1614015,1158793,1486196,997417,514623,1717668,1239788,3283199,866334,3615872,1007312,795025,503099,635269,730759,718778,453993,545966,265370,2629355,495875,835865,914674,427162,996836,747002,1281996,955260,537974,677405,479533,273870,1061218,611580,171717,1279061,1076212,1329962,909832,775566,616958,325272,1182646,818344,322209,1470518
Uridine,HMDB00296,C00299,7583,6935,6778,10629,8492,18134,7668,16928,8355,10113,25328,3377,5871,12986,2716,9693,17354,6809,9370,11988,7324,7084,9188,11005,7090,5834,12082,9542,7698,7121,4671,28446,4599,12593,15446,3407,5385,3941,7917,5371,14045,6541,3424,2919,15409,2759,5962,15955,6508,4536,4171,20528,9110,7354,9163,5273,4030,5821,8254,1817,2900,2872,11967,5493,8678,19465,4724,3737,32610,5233,5852,9952,30845,4636,4925,4725,3107,3937,4526,6493,4703,3717,8430,15685,6624,6741,18044,16224,5968,4049,72941,5490,4086,6346,29816,3884,8192,3961,4985,11870,5776,8199,4187,8116,15594,12912,7837,10263,6370,7704,5113,3806,6707,5000,2825,5485,3533,11321,7690,7933,6787,8019,3740,16803,11312,5646,7299,4556,5957,2536,2377,4100,11845,13092,7578,3729,18587,5744,8044,4778,10799,2745,8823,4977,20528,6175,2447,4114,3022,3891,4190,2757,6734,9431,3257,9989,10804,4482,4630,2955,3736,3155,10683,5923,7024,8867,7895,5627,3372,5886,6326,10579,4870,5955,4584,17922,3260,4023,5141,5100,5443,7556,15698,7726,3878,10957,4804,9245,12763,9276,6467,11291,3956,5198,5950,10334,11204,4673,3574,2554,6661,9439,7109,2962,3049,4306,3454,11645,4505,3156,6482,4197,5536,3329,3717,3395,5872,7063,8955,5439,5319,6241,5087,8004,5040,7071,3925,4782,11121,4077,11141,3038,5798,2880,2940,6723,1709,5893,5636,3334
isoValerylcarnitine,HMDB00688,C20826,2497723,3410303,2568653,1524928,5187034,1026872,9427529,2835004,8737509,2327029,6727079,3468388,2545261,9023498,7575913,3390389,6866742,2796070,4230708,7217475,6395895,4171155,3058332,12787798,3648121,2965838,1520130,2109582,5775116,3374314,1867862,5935950,1888043,2136996,2396294,2468811,5065010,10582809,4231514,2466883,1971265,4756338,4869688,7425486,2776647,4803991,9749906,10550589,6323770,3744117,2531686,3301898,9201040,3488755,4668635,2409039,1508264,2614668,10966732,3797953,4082952,9408194,5133546,3363006,2800698,2731519,4020842,2866994,5756652,2839358,4598299,3281670,10918359,1856840,2845677,2617012,2255542,2985847,4861541,2235520,6624764,6806243,5726181,5697476,1507460,1678103,4281905,4848285,2249893,3602316,8209511,9059105,3547483,5152187,1784739,1012641,1785767,6948086,1735430,6185401,2953884,4075489,8168089,2173428,6378895,5258177,2532252,3717586,4120880,4282823,5080161,2450225,4890006,2733630,11394053,4493875,3180717,4576038,803478,17591125,1882808,6175719,8113386,794968,6515969,2859871,1951549,2735909,4537023,5848528,5148824,2029744,1419494,2611512,1219625,7069942,3020770,1607988,2372899,2874641,4134955,1345093,8445473,4894126,3102170,3394227,6429665,2862952,2072417,3279897,2892743,3412546,7098530,1306836,3498915,2286411,1903562,3137406,1492658,1734502,4877945,11034700,9182378,2113189,2170985,7105504,9208333,2789251,6970680,1937938,7288736,2732737,1910578,945906,7644987,2283400,2950644,3359407,1847638,3741398,1352545,2393912,11514791,3104562,3308134,10078718,4298831,2770685,3756304,4168204,4571489,1340402,773873,1399193,2538016,8493994,5598197,3844474,1506529,12635521,3321532,8772286,2145257,5728829,2749354,1629096,1928037,3947661,1677088,941988,2639412,2376793,3145042,4197479,2149185,2141469,2200763,2146495,2108934,2651010,2324422,4288716,1825663,1715598,4035569,1829771,1134054,3066307,1313263,2604455,1991316,4115470,2590090,769219,1988183,2489953,2164097,5723684,2015835,9535378
Neopterin,HMDB00845,C05926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerophosphocholine,HMDB00086,C00670,37656347,37020276,41429064,27843833,162223916,61844565,138890890,47079921,37432917,53989790,67953991,36277649,19832118,32064428,20105979,26401820,27323895,16308654,30778011,42038319,30578569,27698589,18420398,61708310,28509138,16414258,35995417,37435800,30025030,27118041,25414360,31437896,30732389,38446779,20092265,24981969,24305758,83981028,20380475,26066509,37689191,22978439,30618941,21274831,31665958,47667189,57404437,48983172,45840503,33518580,31741077,39716787,43661866,28497845,34442943,25997809,35784261,35779424,26233381,24960649,25142415,76550466,48523861,26004906,31275526,45408078,57491088,25127185,36019247,24806934,34431278,44351960,40479474,36850505,55008923,59994365,32687744,32463268,30451158,33391787,20240507,21986046,22383233,42074137,45582434,44863103,30386892,33782641,32718245,42789508,37003163,41087521,28236477,63387536,74836245,38742111,25209599,32311554,31218412,41513719,32214857,24418992,44654453,28460758,73201925,61056274,35703878,30368507,20716325,24833162,51723579,28332013,26578888,28289102,59059601,21801763,31587716,21753871,19974957,99122663,41065192,39675689,31803185,51335319,27354158,28660976,33854546,27762329,43154322,50637080,19096143,29290646,20917669,18899112,25766375,58228215,32194237,20564080,21840632,35017280,29861750,46303383,44598121,20769341,37623252,15237010,59346461,29727852,38339350,21379329,28055902,20909201,33055755,27033141,16296172,25488998,24477792,22267889,21198735,25866063,54140974,60733579,24438302,32027143,35842158,58566623,43276169,56645988,90116722,29685317,37542075,31500986,30470320,26339686,88863517,27124193,34758540,30996031,32525108,29660353,29490640,50974062,84751770,40656788,35140923,33017321,39597084,28719505,28279379,34527649,31856144,27174134,24882923,28770316,67227014,123911435,27152894,40065693,29288160,72001003,18508519,70785757,32165596,127651547,39657492,24878124,35146098,38275312,51093419,43202984,25743247,32396379,76474243,61008228,29942021,29675983,28337501,31873387,63099746,39972767,30352820,28613487,27694889,34064193,25382376,27033792,29681946,30096940,76757518,41355892,26597844,56148564,32228578,43635876,19231603,26485080,23493528,11571271,20860574,64309199
5-Methylcytidine,HMDB00982,N/A,2980552,3255221,5081324,3338980,3117903,2408334,3961385,2828093,2657970,3881393,3525700,3963256,1965580,2945724,2268200,3112263,3212133,2829409,3109166,4431060,2989969,3366334,2899282,1900813,2291794,1680152,5761155,4743437,2594822,2897486,2526973,2825601,2374023,4121837,3282869,4521290,2834380,1957670,4134567,1360058,3497404,2031545,2647136,2962176,3936926,3615317,3828264,3447177,2882551,2979233,2998830,2643033,2787647,2776817,4784074,2957776,3195487,2805413,1709584,2405424,3766120,3381348,1348741,3149657,3100590,3324060,4116156,2409798,5083336,2517908,1987549,2732326,3351908,485201,1963309,4515690,3091995,2825956,2358456,2796651,3277140,2610815,3094501,2300560,3090049,2955944,2150167,2584513,3342526,1114430,2943045,1795775,2455734,1903550,2681755,3052287,3636043,2556454,3733374,4490311,3186685,3405740,2311539,1937473,3420787,2792389,2297958,2986440,2692374,2018910,1788499,1686036,2055836,2271281,4065146,2997233,2036051,2142918,4672327,2291328,2087395,3239210,3253601,4225702,3467787,2799023,2509134,6868478,2041044,2105751,2954888,2659177,2397280,1596684,3262678,2258698,2239696,3048867,3219272,2574544,2318667,3227163,2484455,2554995,2143240,4347723,2463878,4864876,2590262,2789421,2697222,2438150,3278420,2791862,2672587,3774933,2303543,480185,1666980,2728274,3054034,2523071,2679717,2530507,2748684,2926876,2002518,3091468,483709,2568072,3055536,2550274,2833600,3072624,3309342,2424536,2143607,3234952,2149669,2270319,2560006,2551385,2925980,2570136,3714018,2624717,4010770,3173312,2817516,3467343,2132222,3618840,3789087,2163210,3715162,2082428,3512852,3280237,2708095,2465603,3392746,2655269,3665505,2542347,1622665,3700516,2318311,2720224,2710297,3311502,1887228,3464408,2959860,2526880,2176897,2933111,2877329,2552576,2001720,4021515,4070817,2890749,2127090,3122178,2841754,3090257,3065801,2134102,2216961,2924200,2442892,3197531,1722424,3110332,1798087,3216130,2176334,2729673,1845417,2645066
Phosphotyrosine,HMDB06049,C06501,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Succinylcarnitine,HMDB61717,N/A,766552,378377,150876,270850,402255,419802,2213002,346449,229120,488503,423963,425687,221238,243848,662740,240681,360370,317450,278207,242071,245864,220022,273791,372009,185860,176170,145173,241089,237030,336495,213585,229935,164923,173545,113505,178808,151825,431002,299467,132112,194291,184524,184343,734720,190342,224405,431055,938303,222712,227601,137288,149094,211357,298024,257627,317222,240229,171398,256847,133364,156675,559327,172095,129389,184566,227761,202987,178112,222106,178530,125748,209551,514718,85622,142141,241252,167534,131930,96027,171612,469446,215066,180819,115664,223042,106898,120519,410684,59005,166592,374680,112909,122031,358018,218723,106333,73199,129391,58643,133944,208870,92288,160972,179279,307966,259075,97649,140941,214618,134089,185440,187485,286761,81879,397489,194105,227122,174031,64682,899422,154813,180363,168546,63926,219372,180939,146748,95043,153510,372294,130701,154066,104913,86067,91664,265314,132937,132071,169649,408283,101296,159941,238916,191406,500148,143367,349891,109399,189091,144455,200331,193061,143079,86867,135129,167701,127689,289582,115766,206178,417303,513023,215743,190215,172002,337944,108210,214647,294728,99263,294305,118157,239350,107632,309957,152167,216704,229880,64922,193142,104175,136911,295726,154387,178599,233629,208839,120718,187478,171597,179971,102919,55662,112807,153058,1061794,229872,97083,93552,188877,130492,959624,121715,409653,72408,167362,92193,122792,152003,91865,145190,158649,81757,308328,238843,140057,143337,169643,80859,173371,101774,119509,138774,168588,170404,112874,177786,123038,55813,153283,133850,203995,120637,73252,126816,65285,86511,56612,99477,210099
Thiamine,HMDB00235,C00378,878198,669915,1226909,560735,235306,1103237,688619,521794,731321,1589601,643507,686119,344452,379121,4037201,839229,718364,1344180,163196,440324,738536,2667631,2001666,228356,645673,956829,643610,2561951,83911,674967,687964,199691,2323297,401058,663162,338478,347672,637589,508489,1146355,653838,303950,154418,1113094,275438,212770,611394,558826,812135,258200,370697,412125,489294,350031,533700,515022,330320,538258,526522,1429257,786658,538261,1445939,672719,487949,777724,932658,866198,443952,377586,635540,192048,510768,617042,1145981,580999,964970,341523,275990,712105,1263280,322963,656529,474588,1614093,1051272,825317,1154002,229595,249301,378307,1362589,1049394,14236826,523012,694186,775833,1338216,745064,140629,623192,272716,835853,623075,825447,1858255,718111,404109,644356,423373,2586395,664780,545227,482805,466153,342555,548508,1044635,688752,2285109,201929,405187,302313,514225,117728,721305,793280,1121347,661564,349311,2838281,320571,930263,645977,459053,349762,1392738,193401,220617,377036,635197,798000,335583,365797,857551,538573,740271,958154,462361,803014,357837,563041,355159,1118272,757507,413544,670792,1433565,1021622,652205,413458,631175,490122,285857,319110,336787,254217,396071,372298,505280,122045,468474,689510,755522,744029,1631978,985806,770823,503793,313450,868412,818163,266643,813979,722991,520799,1163997,1034512,548367,637608,277734,635831,1857598,534759,778283,814789,122293,899085,693607,264117,568967,607107,357199,881798,518166,810529,659461,389378,866894,675571,531298,718927,640199,1133061,500548,433866,950472,130796,428074,684980,746442,449309,249554,272121,695997,367925,663939,390362,350409,289852,1286407,862513,542096,634118,881558,349965,647892,219838,844854,772853
"2,3-Diphosphoglyceric Acid",HMDB01294,C01159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deoxyguanosine,HMDB00085,C00330,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adenosine,HMDB00050,C00212,251155,335969,163125,152484,667332,104997,3629965,1738313,280206,424947,947625,261815,88723,573889,57278,316285,61865,87608,100881,363958,96725,355223,113226,591805,102689,106609,153258,702113,340018,148063,141287,465994,162774,376858,75773,61500,222550,354442,160477,111796,84415,114226,49115,70929,416697,41556,677259,86058,478262,124889,65642,48005,75299,1686502,153628,75296,38067,155630,178927,41271,41219,83367,38014,66474,163388,2775075,24690,36840,33078,28464,33184,1365394,2486603,45049,33015,735290,50837,129778,222585,84478,32079,43186,33154,195259,40462,174061,91411,152820,77447,53328,110602,52521,268658,78507,451987,47551,39577,40364,52506,180881,33388,50701,136817,34559,83834,110085,76740,49995,24697,44496,28351,36841,87695,34404,127768,62765,67983,142528,55175,412719,91195,21718,27407,134399,73073,139674,22626,37380,32789,129265,24892,45535,101034,28056,19128,111970,351804,42771,24115,131250,19114,13481,370450,29721,170977,106617,58817,31138,86842,20681,23566,17033,17555,43288,25223,68036,39135,34598,85804,65182,117025,41137,36020,43573,73465,65697,36351,146953,33045,25107,214478,161433,32831,24381,106315,48979,53053,28951,73405,25254,41979,104081,39757,187756,75513,19593,19675,38092,50525,79950,64070,16649,17239,12431,111436,430181,28902,47386,25201,57087,24775,117729,42652,40056,19170,17716,22928,43930,179947,36319,24866,12882,44023,99745,31328,18887,43883,606068,27837,23825,20101,11598,22596,18326,29349,29009,54491,48156,151514,46349,21672,49454,51401,71858,12912,24343,43906,18373,28354,84548
Inosine,HMDB00195,C00294,121519,77403,1848459,1761864,321045,1623881,1689796,5612157,1818351,1310649,87732,763056,86952,4435041,116743,457322,3680613,367226,656291,2818117,1939420,649050,80804,5493068,1213743,579685,104440,148844,1595327,1690867,37879,2957993,737410,535995,49395,854753,203645,657305,127773,36258,1164793,1624457,860873,80384,2139530,29864,627749,1686389,802324,1539891,1352240,359517,69457,922963,32797,813379,308120,656823,904895,72231,296515,240534,679861,275081,1414056,3640694,137942,13680,416237,585761,59714,1278432,1369212,14850,14699,280320,1082324,37099,462719,177491,18680,32745,2878647,1926839,53094,48125,4149700,91519,115750,95368,926550,38188,64770,1219918,14090,1681860,1032185,8034,57001,3432515,291429,16289,242948,19243,583193,155182,279741,2455459,534432,42497,389198,N/A,67613,1108731,403827,26334,289888,1849705,33146,347491,208182,3224367,205271,942981,9518,196476,N/A,22415,606665,294972,424880,19165,26904,332936,21975,442382,35888,824283,94840,1710182,36747,N/A,1951024,70385,6759053,151603,334890,N/A,27606,82876,270522,9122,69586,990875,26578,1255602,220220,28929,71190,1721336,122588,212055,530987,28424,891009,270743,N/A,55045,25924,303329,622914,164104,313839,N/A,169604,1016480,617778,10004,16454,180893,N/A,753920,126225,119872,20973,245381,N/A,2041296,180748,7977,45257,N/A,1268113,828915,264935,348974,162100,N/A,7975,126560,434413,235484,111689,217212,779925,350235,192120,368699,124271,N/A,N/A,N/A,N/A,372188,N/A,N/A,193098,105754,123006,N/A,1049661,924505,117838,600597,151601,250132,11787,N/A,8125,558979,1619243,112923,90140,8625,826105,9016,28278,87272,53940,146303
