Sarcosine,HMDB00271 ,C00213,59849,85805,63666,95647,54754,55685,80679,45018,43663,55967,56336,42840,81022,103848,58249,32759,39168,114878,56087,68167,53572,49528,69585,58616,75483,55866,50311,85993,65200,56264,106273,67705,64177,118830,79838,68162,62724,57585,73873,82100,51988,86423,121445,207274,109330,29492,45440,114217,79561,112965,35454,48126,74220,67700,72619,58144,49952,99941,65665,94469,44570,49901,74590,44227,67290,95397,31324,64520,35293,41510,38234,103864,47644,57312,64086,93202,102393,49091,27628,64499,61705,74188,39329,83180,57509,43270,61561,36441,115216,61260,42616,28569,95509,34460,45367,63627,33473,66457,59613,52474,36121,42727,31244,62794,51164,33042,52286,72267,28896,39621,32256,43428,95526,77064,49972,64222,116412,67777,32019,161087,74623,85851,45149,53575,27568,87845,60203,42608,26630,45093,37545,64358,45872,62919,N/A,70216,69307,105560,33692,66592,67345,37321,54351,32533,47661,40095,55762,23804,60301,35492,41118,37611,39981,40326,94637,66588,48188
Betaine Aldehyde,HMDB01252,C00576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cadaverine,HMDB02322,C01672,127605,158798,137842,147569,119869,128122,127899,122301,122586,127364,113846,99461,136412,111958,155869,146705,122031,130776,110215,110240,129519,120577,128880,123271,113717,114919,93926,129500,123561,142266,118173,123193,120416,138248,120539,141335,101875,94337,125306,104434,131895,128727,114573,129395,109323,118783,105196,118255,129564,130552,110000,117767,110680,115622,91172,102602,116546,121285,101731,123923,137254,138045,151181,100448,143712,150491,114923,124916,111862,130190,137777,131968,126049,121716,137358,137953,133136,100222,111286,121608,105602,92420,132783,90008,116266,111558,126511,135087,122938,145641,111384,124563,130584,129349,128838,104849,140497,115924,106332,115026,88867,118602,124414,126543,103745,133989,121795,115021,102910,99056,100110,98101,117699,113334,131848,112918,107539,117631,92465,142004,89297,99153,94369,93649,109763,118945,108375,127842,96224,93489,93097,135099,95198,116630,114412,112160,123343,134049,115756,102755,147728,126990,102231,127455,117273,108738,92687,110922,107629,94077,126060,99197,91013,118696,119657,127262,109360
3-Aminoisobutyrate,HMDB03911,C03284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Choline,HMDB00097,C00114,41682451,95318638,56772207,23697683,27625106,21301779,35342008,18967749,22398636,22856448,36224525,23325591,29016205,24671316,53131582,21581258,41055679,24790557,31373858,30507964,20575061,31161814,34156024,22779182,33926006,29278498,26960311,19520543,22945127,51553040,35557509,23517894,32701242,24202605,21220199,22732383,25817405,30810133,46734570,22778275,17835690,18907349,18972718,23551835,16433524,17329548,17415135,20193836,31226560,35181419,28911011,24052589,22708297,33758457,19198097,20157697,25081887,44362788,22769676,15530826,38476023,14824243,24060148,19502659,22937682,22211472,70368931,30402966,23887345,20203727,18224738,23644059,15125771,25010530,13989599,32854649,20227710,17039327,16142024,20301501,20327491,15485409,41102875,20316262,15858744,15479933,31504355,14911621,24948212,25241106,14801664,34655117,24662905,10984305,16328239,17936418,24720066,21363656,13990373,12522721,13335191,25263642,15328075,18519714,16715601,15064321,16878095,15443571,19668489,19525994,16670917,12639627,19836639,21781413,11615415,19828342,26103384,19667693,26197471,21607357,12986778,16418860,15061776,19460647,45051118,21434683,18757329,18580558,18092300,20594428,14984470,16234615,53979958,82773130,14590607,14947047,14016971,26408961,11766240,17368546,16699174,29602571,16011765,13920835,11663712,11528176,18981344,11975352,13719058,13745371,32603416,18717608,25149935,14301161,18846571,15830054,10964204
Dimethylglycine,HMDB00092,C01026,346906,1304329,633551,688310,555841,929600,671976,359235,1292276,1091425,685063,635729,927984,1157262,466619,818088,1188130,1041588,497074,782458,572145,1546500,788700,776163,486479,1407331,488078,728292,405912,936953,281521,398375,447540,521069,519886,852792,350205,547220,517125,827361,626362,1188306,607677,643996,583318,834952,1385833,399404,1003461,567889,812270,743410,605126,403390,552349,288658,889545,335093,585463,528462,575555,778942,624121,748203,637599,436056,364673,848602,450592,428680,432154,800591,485413,789207,440203,854260,629404,502695,761392,851766,460317,320513,522792,352069,653630,678038,577767,244949,296242,473071,422132,964908,614753,234724,481107,281833,484344,316944,401510,280599,312766,434581,864707,268184,539750,762763,368809,357685,986663,546224,506167,346347,234464,960928,320671,406537,879012,352263,832200,498184,519730,368719,439180,941271,852998,431824,430814,1102780,483235,667448,635358,720409,476911,733882,895130,384084,586615,465466,482503,536632,577074,1123462,605399,331236,528065,440856,610386,362905,585291,279717,423275,624782,391919,808304,442292,364224,845393
L-2-Aminobutyric Acid,HMDB00452,C02356,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoisobutyric Acid,HMDB01906,C03665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Serine,HMDB00187,C00065,3712295,9533297,6128930,6756465,4865157,4517775,5872438,5352063,5772485,5490111,4148948,4550997,4434476,5247391,5604749,4036332,5504979,5158933,5168060,4896779,5139817,4628234,4801396,4873882,5552232,5977760,3948417,4785688,5953394,5283152,6312699,6399520,4582050,5018160,4389065,5199401,4257099,5891886,4514102,5817182,4641152,5094574,8267360,3894939,4966797,4921305,4584884,5020480,6571527,6027007,4482223,4792181,3634835,4644426,3987914,5862000,4246943,8862316,4322398,5217425,6286372,4315102,4602686,2874418,3701960,3094852,4974252,5244295,4489210,4614244,3326518,7396754,4176272,4263198,3873342,8741197,4157604,3428862,3110663,3341833,5728942,4820563,3652760,3418617,3209865,5095935,6134980,2827284,4469352,3169086,3910824,3864536,3148305,4055709,4900107,5161284,3648985,4869370,2939585,2903656,3400189,5061510,2728491,3752386,4115742,4475799,3637044,4600464,3155017,3986564,2907363,3481977,3018100,3312073,3632411,3842049,3168832,5125245,3330780,3758164,3308015,3529519,3386405,4206796,2435714,3227614,2343854,4953073,2751198,3360188,3435941,3738123,4062958,4747383,2861104,3086349,4114642,4726639,3631124,2866769,4519498,5614642,3496282,3668171,4770738,3568504,3015105,3457235,3123650,2645601,4309302,4191399,3388548,4511055,4986203,3682081,3817159
Hypotaurine,HMDB00965,C00519,3133,22820,6695,4709,1585,5490,9155,1447,6030,3546,11737,7236,6537,9222,8667,2653,6327,6670,3655,2961,3974,8271,3940,7755,4046,4226,3405,4420,5569,8443,10224,4238,6270,3238,6149,2232,10094,4302,6763,8125,3885,8970,6308,8607,9642,4110,3043,5387,3952,22042,10330,11669,22166,13249,4673,8267,2833,9285,3622,3725,4518,1572,7756,8816,5542,11372,2458,14272,2632,2694,1853,12181,9553,20118,4202,15182,9888,3491,4910,11756,4644,5818,5366,6470,10832,8880,6601,2917,8696,6351,2364,4844,1890,5857,5415,6242,5239,5769,3225,6972,2987,9321,4252,3192,5301,5422,6035,8091,6357,2612,2708,8419,3107,4803,7227,3031,37318,12038,8422,3654,5664,7505,4551,2017,3996,13150,3039,7762,2261,3215,7443,7804,6387,11073,4923,4993,4267,18996,5455,2577,8071,2898,2756,6187,7632,6021,9704,2969,1874,3928,3670,4280,10955,3580,6069,3329,3822
